50 Cent|60 Cent|1975-07-06
Senta Wengraf|Svenja Wandgraf|1924-05-10 – 2020-12-06
Seo-hyun Ahn|Soo-yeon An|2004-01-12
Seo-joon Park|Soo-jin Pork|1988-12-16
Sepp Blatter|Jupp Lauber|1936-03-10
Sepp Gneißl|Sepp Gleißner|1935-10-23 – 2014-10-24
Serafima Birman|Serafima Birant|1890-08-10 – 1976-05-11
Serge-Henri Valcke|Serge-Hector Verkerk|1946-06-30
Sergei Bodrov|Sergey Badrev|1948-06-28
Sergei Eisenstein|Sergey Eisenstern|1898-01-10 – 1948-02-11
Sergi López|Serge Lupás|1965-12-22
Sergio Corbucci|Silvio Carpucci|1927-12-06 – 1990-12-01
Sergio Leone|Silvio Legume|1929-01-03 – 1989-04-30
Sergio Martino|Silvio Matteo|1938-07-19
Sergio Pablos|Silvio Parlos|1970
Sergio Peris-Mencheta|Silvio Paris-Machete|1975-04-07
Sergio Rubini|Silvio Ruberti|1959-12-21
Sergio Sollima|Silvio Sollini|1921-04-17 – 2015-07-01
Sessue Hayakawa|Sussue Hawayaka|1889-06-10 – 1973-11-23
Seth Gordon|Seb Garden|1976-07-15
Seth Green|Seb Gray|1974-02-08
Seth MacFarlane|Seb McFarren|1973-10-26
Seth Meyers|Seb Millers|1973-12-28
Seth Peterson|Seb Paulsen|1970-08-16
Seth Rogen|Seb Roging|1982-04-15
Seung-mi Kim|Sung-mi Kum|
Severn Darden|Sovern Darrow|1929-11-09 – 1995-05-27
Seymour Bernstein|Sheldon Bernfeld|1927-04-24
Seymour Cassel|Simon Castile|1935-01-22 – 2019-04-07
Sha Yi|Shun Yu|1978-02-15
Shad Moss|Slate Mosh|1987-03-09
Shah Rukh Khan|Shah Rokh Kaul|1965-11-02
Shahab Hosseini|Shirin Hosnavi|1974-02-03
Shahadi Wright Joseph|Sharina Wrong Joshua|2005-04-29
Shailene Woodley|Sherine Woolen|1991-11-15
Shaka King|Shari Koenig|1980-03-07
Shakira|Sharika|1977-02-02
Shalom Harlow|Salem Hoerlaw|1973-12-05
Shameik Moore|Sharif Muir|1995-05-04
Shane Black|Shawn Bleak|1961-12-16
Shane Briant|Shawn Braynt|1946-08-17 – 2021-05-27
Shane McRae|Shawn McRay|1977-07-23
Shane Paul McGhie|Sean Paul McGhee|1993-11-26
Shane West|Shawn East|1978-06-10
Shania Twain|Sharona Tween|1965-08-28
Shannen Doherty|Shannon Dorbety|1971-04-12 – 2024-07-13
Shannon Ashlyn|Sharon Ashlen|1986-02-20
Shannon Elizabeth|Sharon Elizabelle|1973-09-07
Shannon Whirry|Sharon Whizzy|1964-11-07
Shannyn Sossamon|Shayna Sassymon|1978-10-03
Shanola Hampton|Shanella Thampton|1977-05-27
Shantel VanSanten|Shantal VonSanto|1985-07-25
Shareeka Epps|Shanika Ebbs|1989-07-11
Shari Belafonte|Sharla Bellefronte|1954-09-22
Shari Headley|Sharla Handley|1964-07-15
Sharlto Copley|Shesto Copling|1973-11-27
Sharmila Tagore|Sharita Tagane|1944-12-08
Sharni Vinson|Shari Venton|1983-07-22
Sharon Angela|Sharla Engele|1963-06-14
Sharon Gless|Sharla Gliss|1943-05-31
Sharon Horgan|Shannon Hollan|1970-07-13
Sharon Maguire|Sharla Macquire|1960-11-28
Sharon Mitchell|Sheena Michael|1956-01-18
Sharon Small|Sheena Smale|1967-01-01
Sharon Stone|Sharla Stein|1958-03-10
Sharon Tate|Sharla Taint|1943-01-24 – 1969-08-09
Sharon Van Etten|Shannon Van Eitel|1981-02-26
Shaun Dingwall|Sean Dongwell|1972-03-24
Shaun Evans|Shane Evers|1980-03-06
Shaun Sipos|Shawn Sapos|1981-10-30
Shaun Toub|Shawn Tobe|1963-04-06
Shauna Macdonald|Shanna Macdonut|1981-02-21
Shavar Ross|Shaun Horse|1971-03-04
Shawn Ashmore|Shayne Aschmoor|1979-10-07
Shawn Christian|Seab Christopher|1965-12-18
Shawn Levy|Shane Levite|1968-07-23
Shawn Mendes|Sam Miendres|1998-08-08
Shawn Michaels|Sean Mitchels|1965-07-22
Shawn Roberts|Sam Rotbarts|1984-04-02
Shawn Wayans|Sean Waydanz|1971-01-19
Shawn Weatherly|Sean Wetterly|1959-07-24
Shawnee Smith|Shawna Swift|1969-07-03
Shay Mitchell|Shae Michael|1987-04-10
Shayne Hartigan|Shawn Hartingen|
Shaznay Lewis|Shizney Louis|1975-10-14
Shea Whigham|Shia Whittam|1969-01-05
Sheila Atim|Selah Atan|1991-01-09
Sheila McCarthy|Shira McCanny|1956-01-01
Sheila Rosenthal|Shayna Rosenburg|
Sheila Sim|Sherry Sum|1922-06-05 – 2016-01-19
Shekhar Kapur|Sekar Kapoor|1945-12-06
Sheldon Lettich|Simon Letrik|1951-01-14
Shelley Duvall|Shelley Devault|1949-07-07 – 2024-07-11
Shelley Hennig|Sally Hendren|1987-01-02
Shelley Long|Sheryl Lang|1949-08-23
Shelley Winters|Shirley Wintrigs|1920-08-18 – 2006-01-14
Shenae Grimes|Shira Grumes|1989-10-24
Shera Danese|Shara Denayse|1949-10-09
Sheri Moon Zombie|Shira Moon Zombo|1970-09-26
Sherman Hemsley|Shawn Hemsden|1938-02-01 – 2012-07-24
Sherwood Schwartz|Sandord Schwan|1916-11-14 – 2011-07-12
Sheryl Lee|Sheena Ley|1967-04-22
Shevonne Durkin|Sharona Derklin|1969-08-21
Shi Yu|Shen Yi|1996
Shia LaBeouf|Shea LeBueff|1986-06-11
Shigeru Chiba|Shigeto Chino|1954-02-04
Shigeyasu Yamauchi|Shigematsu Yamura|1953-04-10
Shiloh Fernandez|Silas Hernandez|1985-02-26
Shin Koyamada|Shiro Koyashi|1982-03-10
Shingo Katsurayama|Shindo Katsuyama|1972-04-07
Shingo Tsurumi|Shinzō Tsudaro|1964-12-29
Shinichi Himori|Shoichi Himura|1907-01-10 – 1959-09-12
Shinichirō Watanabe|Shinjirō Watanuki|1965-05-24
Shinji Aramaki|Shinjō Aramoto|1960-10-02
Shinji Sōmai|Shunji Sogawa|1948-01-13 – 2001-09-09
Shinya Tsukamoto|Shinzō Tsukamura|1960-01-01
Shira Haas|Shila Haes|1995-05-11
Shirley Anne Field|Shelley Anne Feld|1936-06-27 – 2023-12-10
Shirley Bassey|Sheryl Brassey|1937-01-08
Shirley Chisholm|Sharla Chasehelm|1924-11-30 – 2005-01-01
Shirley Eaton|Sheryl Eating|1937-01-12
Shirley Henderson|Shelley Handersen|1965-11-24
Shirley Jackson|Shelley Jacklin|1916-12-14 – 1965-08-08
Shirley Jones|Shelley James|1934-03-31
Shirley Knight|Sheryl Knave|1936-07-05 – 2020-04-22
Shirley MacLaine|Shelley MacLane|1934-04-24
Shirley Stoler|Shelley Stolen|1929-03-30 – 1999-02-17
Shirley Temple|Sheryl Templar|1928-04-23 – 2014-02-10
Shohreh Aghdashloo|Shahla Aghdari|1952-05-11
Shon Greenblatt|Shan Gruenbloat|1967-05-13
Show Lo|Shoe Lu|1979-07-30
Shu Lea Cheang|Su Lea Cheung|1954-04-13
Shu Qi|Su Chi|1976-04-16
Shu-zhen Zhao|Su-lin Zhou|1934-07-02
Shugo Oshinari|Shungo Oshitani|1981-03-05
Shun Oguri|Shiro Ogara|1982-12-26
Shun Sugata|Shoji Sugano|1955-02-17
Shunsuke Tada|Shunpei Tado|
Shuya Sophia Cai|Shinya Sophia Chai|2008-04-22
Shûji Terayama|Shūichi Terawaki|1935-12-10 – 1983-05-04
Shō Aoyagi|Shin Aoyama|1985
Shōji Kawamori|Shinji Kawajiri|1960-02-20
Sibel Kekilli|Sibyl Kikelli|1980-06-16
Sibylle Canonica|Sybille Cantorica|1957-04-26
Sibylle Rauch|Sybille Qualm|1960-06-14
Sicheng Chen|Siren Chan|1978-02-22
Sid Caesar|Scott Kaisar|1922-09-08 – 2014-02-12
Sid Eudy|Syd Eydo|1960-12-16 – 2024-08-26
Sid James|Syd Jones|1913-05-08 – 1976-04-26
Sid Vicious|Syd Viscous|1957-05-10 – 1979-02-02
Siddharth Anand|Sahil Amend|1978
Sidede Onyulo|Simede Onyaro|1955 – 2008
Sidney Blackmer|Sydney Blackmoore|1895-07-13 – 1973-10-06
Sidney Clute|Sydney Clutch|1916-04-21 – 1985-10-02
Sidney D'Albrook|Steven D'Alburn|1886-05-03 – 1948-05-30
Sidney Flanigan|Sandy Flanoran|1998-10-19
Sidney J. Furie|Stevie J. Furia|1933-02-25
Sidney Lanfield|Simon Lanford|1898-04-20 – 1972-06-20
Sidney Lumet|Sydney Tumlé|1924-06-25 – 2011-04-09
Sidney Poitier|Simon Portier|1927-02-20 – 2022-01-06
Sidney Salkow|Simon Selkov|1909-06-16 – 2000-10-18
Sidney Sheldon|Sydney Shalden|1917-02-11 – 2007-01-30
Sidonie von Krosigk|Sidonia von Krasic|1989-10-21
Sidse Babett Knudsen|Signe Babett Knutser|1968-11-22
Siegfried Lowitz|Sigmund Lowesch|1914-09-22 – 1999-06-27
Siegfried Rauch|Sigmund Dampf|1932-04-02 – 2018-03-11
Siegfried Wischnewski|Sigmund Waschnowski|1922-04-15 – 1989-01-24
Sieghardt Rupp|Sigmund Rupf|1931-06-14 – 2015-07-20
Sienna Guillory|Sloane Golluiry|1975-03-16
Sienna Miller|Sloane Mueller|1981-12-28
Sigfrit Steiner|Siegfried Steinmann|1906-10-31 – 1988-03-21
Sigi Rothemund|Stevie Rothenmaul|1944-03-14 – 2024-01-13
Sigmund Freud|Sigmund Froi|1856-05-06 – 1939-09-23
Sigourney Weaver|Sieglinde Weber|1949-10-08
Silvana Mangano|Sibilla Mannaro|1930-04-23 – 1989-12-16
Silvia Pinal|Sylvia Pinor|1931-09-12 – 2024-11-28
Silvia Seidel|Sibylle Seiden|1969-09-23 – 2012-08-04
Simmone Jade Mackinnon|Sharonn Jade Mackinning|1973-03-19
Simon Baker|Sigmund Becker|1969-07-30
Simon Callow|Sammy Callnow|1949-06-15
Simon Curtis|Steven Cortis|1960-03-11
Simon Ginty|Sammy Ginter|
Simon Helberg|Steven Habsberg|1980-12-09
Simon J. Smith|Sigmund J. Swift|1968-09-16
Simon Jones|Sammy James|1950-07-27
Simon Kinberg|Sidney Kindren|1973-08-02
Simon Kunz|Sigmund Konz|1962
Simon MacCorkindale|Sigmund McCorkendoyle|1952-02-12 – 2010-10-14
Simon McBurney|Sidney MacBarny|1957-08-25
Simon McQuoid|Seymour McQuail|
Simon Pegg|Sigmund Pigg|1970-02-14
Simon Rex|Sigmund Ray|1974-07-20
Simon Schwarz|Sigmund Schwarth|1971-01-10
Simon Shepherd|Steven Shaffer|1956-08-20
Simon Verhoeven|Steffen Vorhoefen|1972-06-20
Simon Wells|Sammy Wales|1961-10-19
Simon West|Simon East|1961-07-17
Simon Wincer|Sigmund Wintzer|1943
Simon Yam|Sidney Yim|1955-03-19
Simone Brahmann|Sonia Bratten|1961-06-21
Simone Griffeth|Sabine Grabbet|1950-04-04
Simone Signoret|Selene Sigmaret|1921-03-25 – 1985-09-30
Simple Minds|Simple Thoughts|
Simran|Sima Samra|1976-04-04
Simu Liu|Sinu Lui|1989-04-19
Sinbad|Sonbad|1956-11-10
Sinclair Daniel|Sinchloe Damian|1997-04-05
Siobhán McKenna|Shevaun McKanny|1922-05-24 – 1986-11-16
Sion Sono|Shun Soro|1961-12-18
SisQó|SusQí|1978-11-09
Sissy Spacek|Silvy Spandex|1949-12-25
Siu-hung Leung|Siu-lin Leng|1954
Siu-Tung Ching|Sui-Tang Chong|1953-10-31
Siân Héder|Siana Háder|1977-06-23
Siân Thomas|Siri Tobias|1953-09-20
Skandar Keynes|Scandar Kayns|1991-09-05
Skeet Ulrich|Skate Ulrik|1970-01-20
Skipp Sudduth|Skape Shuddit|1956-08-23
Sky du Mont|Sky diMonte|1947-05-20
Skylar Astin|Skyler Asten|1987-09-23
Slim Pickens|Slam Piggins|1919-06-29 – 1983-12-08
Smaran Ghosal|Samin Ghoslen|194x – 2008-07-10
Smiley Burnette|Sammy Burdanne|1911-03-18 – 1967-02-16
Smudo|Smutzo|1968-03-06
Snoop Dogg|Shoop Dawg|1971-10-20
So-dam Park|Su-dae Pork|1991-09-08
So-young Ahn|Soo-jung An|1959-08-12
Sofia Alvarez|Sophia Alvinez|
Sofia Boutella|Sophie Boutiqua|1982-04-03
Sofia Coppola|Sophie Caputa|1971-05-14
Sofia Kappel|Sophia Koppel|1998-04-27
Sofia Ledarp|Sophie Lerdap|1974-04-08
Sofia Rosinsky|Sophie Rosaumsky|2006-06-10
Sofia Shinas|Sophia Scheinass|1968-01-17
Sofya Lebedeva|Sonya Lebinova|1993-12-14
Sofía Vergara|Sonia Verana|1972-07-10
Sogol Faghani|Sonal Faghiri|1995
SoKo|SaKo|1985-10-26
Sola Aoi|Sana Aochi|1981-04-26
Soledad Villamil|Solene Villarin|1969-06-19
Solomon Gordon|Samson O. Garden|2005
Solveig Dommartin|Solange Domenach|1961-05-16 – 2007-01-11
Sondra Locke|Sandra Curly|1944-05-28 – 2018-11-03
Sonequa Martin-Grau|Sonoqua Marty-Grey|1985-03-21
Sonia Bergamasco|Sara Bergascamo|1966-01-16
Sonia Viviani|Sara Vivante|1958
Sonja Heiss|Sophie Heiler|1976
Sonja Kirchberger|Sophie Kirchhügler|1964-11-09
Sonja Martin|Sophie Marty|1962 – 2019-08-03
Sonja Smits|Sophie Smyths|1958-09-08
Sonja Ziemann|Sophie Ziehand|1926-02-08 – 2020-02-17
Sonny Bono|Sonny Bueno|1935-02-16 – 1998-01-05
Sonny Tufts|Sunny Tuffs|1911-07-16 – 1970-06-04
Sonoya Mizuno|Sayuki Mizara|1986-07-01
Sontje Peplow|Antje Poppwol|1981-04-01
Sook-Yin Lee|Soon Yi Li|1966
Sophia Ali|Sonia Ale|1995-11-07
Sophia Bush|Sonia Blush|1982-07-08
Sophia Di Martino|Sophie Di Marino|1983-11-15
Sophia Lillis|Sofia Lindis|2002-02-13
Sophia Loren|Sonia Lauren|1934-09-20
Sophia Myles|Sofia Moyls|1980-03-18
Sophie Charlotte Wolf da Silva|Sylvie Charlotte Wulf da Sera|1989-04-29
Sophie Cookson|Sylvie Corkman|1990-05-15
Sophie Hardy|Sylvie Heartly|1938-10-04
Sophie Kauer|Sonia Kaumann|2001
Sophie Lowe|Sylvie Loeb|1990-06-05
Sophie Marceau|Sonia Marcourt|1966-11-17
Sophie McShera|Sophia McSherren|1985-01-01
Sophie Monk|Sylvie Munk|1979-12-14
Sophie Okonedo|Sophia Okenode|1968-08-11
Sophie Skelton|Sylvie Skellan|1994-03-07
Sophie Turner|Sofi Toerner|1996-02-21
Sophie Ward|Susan Weird|1964-12-30
Sorapong Chatree|Somchai Chantarat|1949-12-08 – 2022-03-10
Sosie Bacon|Sozie Balcony|1992-03-15
Sotiris Siozos|Sotirios Sioras|
Souleymane Sylla|Sorian Sillon|1991-08
Soumitra Chatterjee|Sohan Chattari|1935-01-19 – 2020-11-15
Spencer Tracy|Tracey Stancer|1900-04-05 – 1967-06-10
Spike Jonze|Spice Jamez|1969-10-22
Spike Lee|Spice Ley|1957-03-20
Sprague Grayden|Spragg Greening|1980-07-21
Spring Byington|Sky Byningten|1886-10-17 – 1971-09-07
Stacey Nelkin|Stella Nielson|1959-09-10
Stacy Keach|Stanley Keech|1941-06-02
Stacy Martin|Stella Marty|1990-03-20
Stan Dragoti|Steve Dogarthy|1932-10-04 – 2018-07-13
Stan Gottlieb|Sam Gottlob|
Stan Laurel|Stu Lorbeer|1890-06-16 – 1965-02-23
Stan Shaw|Stu Shave|1952-07-14
Stanisław Lem|Stanimir Łen|1921-09-12 – 2006-03-27
Stanley Baker|Stanford Becker|1928-02-28 – 1976-06-28
Stanley Donen|Stacy Donell|1924-04-13 – 2019-02-21
Stanley Holloway|Steven Hallowey|1890-10-01 – 1982-01-30
Stanley Kramer|Stanford Kaemmer|1913-09-29 – 2001-02-19
Stanley Kubrick|Stan Lee Kubik|1928-07-26 – 1999-03-07
Stanley Tong|Stan Lee Teng|1960-04-07
Stanley Tucci|Stanford Tuzzi|1960-11-11
Starr Andreeff|Stell Alfreeff|
Stefan Effenberg|Steffen Neffenzwerg|1968-08-02
Stefan Fjeldmark|Stefan Fjeldstad|1964-01-06
Stefan Gebelhoff|Stephan Gerberhoff|1964
Stefan Gierasch|Stephan Griebhasch|1926-02-05 – 2014-09-06
Stefan Hoffmann|Stephan Hopfmann|
Stefan Raab|Stephan Rapp|1966-10-20
Stefan Ruzowitzky|Stephan Rotzevivsky|1961-12-25
Stefania Casini|Serafina Caselli|1948-09-04
Stefania LaVie Owen|Serafina LaVen Oswalt|1997-12-15
Stefania Sandrelli|Stefanie Sandrini|1946-06-05
Stefanie Petsch|Steffie Peitsch|
Stefanie Powers|Stephanie Supers|1942-11-02
Stefanie Scott|Stephanie Scotch|1996-12-06
Stefano Dionisi|Silvano Dioresi|1966-11-01
Stefano Mingardo|Steffen Mingardi|1959-06-21 – 2014-11-11
Stefano Sollima|Silvano Sollini|1966-05-04
Stefen Fangmeier|Steffen Fangmueller|1960-12-09
Steffen Zacharias|Stefen Zedechias|1927-04-11 – 1989-06-06
Steffi Graf|Stephi Gral|1969-06-14
Stella Pepper|Stacy Pfeffer|2004-04-25
Stella Rho|Stacey Rha|1886-09-29 – 1975-01-03
Stella Stevens|Stacy Stephans|1938-10-01 – 2023-02-17
Stellan Skarsgård|Staffan Skogsgård|1951-06-13
Sten Ljunggren|Stig Ljungberg|1938-10-16
Steno|Stino|1917-01-19 – 1988-03-13
Stephan Elliott|Stefan Ellison|1964-08-27
Stephanie Hsu|Stefanie Hso|1990-11-25
Stephanie Jacobsen|Stefanie Jakobson|1980-06-22
Stephanie Moore|Stefanie Muir|1970-07-14
Stephanie Nogueras|Stefanie Nojaras|1990
Stephanie Sigman|Stefanie Sigmond|1987-02-28
Stephanie Szostak|Stefanie Szarik|1975-06-12
Stephanie Zimbalist|Stefanie Zembalo|1956-10-08
Stephen Baldwin|Stewart Boltwin|1966-05-12
Stephen Barker Turner|Stefan Barker Toerner|1968-06-27
Stephen Boss|Stephen Bros|1982-09-29 – 2022-12-13
Stephen Boyd|Stephen Baud|1931-07-04 – 1977-06-02
Stephen Bridgewater|Steven Bruckwasser|1953-08-24
Stephen Campbell Moore|Steven Cantwell Muir|1979-11-30
Stephen Chbosky|Steven Chboren|1970-01-25
Stephen Chiodo|Steven Chodio|1954-03-02
Stephen Chow|Steven Chao|1962-06-22
Stephen Collins|Steven Cullings|1947-10-01
Stephen Daldry|Stuart Dalven|1960-05-02
Stephen Dillane|Steven Dellayne|1957-03-27
Stephen Dorff|Steven Dortt|1973-07-29
Stephen Dunham|Steven Dunmore|1964-09-14 – 2012-09-14
Stephen Frears|Steven Frays|1941-06-20
Stephen Fry|Steven Friel|1957
Stephen Gaghan|Stuart Ganghen|1965-05-06
Stephen Graham|Steven Garrett|1973-08-03
Stephen Hawking|Steven Harking|1942-01-08 – 2018-03-14
Stephen Herek|Steve Hereken|1958-11-10
Stephen Hillenburg|Steven Hindenburg|1961-08-21 – 2018-11-26
Stephen Hogan|Stuart Hoden|
Stephen Hopkins|Steven Hoppings|1958
Stephen J. Cannell|Steven J. Canalle|1941-02-05 – 2010-09-30
Stephen Kessler|Steven Kassler|1961
Stephen King|Steve Koenig|1947-09-21
Stephen Lang|Steven Long|1952-07-11
Stephen Macht|Stefan Might|1942-05-01
Stephen McKinley Henderson|Steven McKinley Handersen|1949-08-31
Stephen Merchant|Steven Merkant|1974-11-24
Stephen Moyer|Steven Moying|1969-10-11
Stephen Norrington|Stuart Norrensen|1964-02
Stephen Poletti|Steven Palotti|1949-06-14
Stephen Rea|Steven Rae|1946-10-31
Stephen Root|Steven Roof|1951-11-17
Stephen Saint Leger|Steven Saint Lockher|
Stephen Sayadian|Stewart Sadayian|1953-10-18
Stephen Sommers|Steven Summers|1962-03-20
Stephen Sondheim|Steven Sundhaus|1930-03-22 – 2021-11-26
Stephen Surjik|Steven Sorjek|1960
Stephen Susco|Steven Suskvo|1972-10-24
Stephen Tobolowsky|Steven Tabulowsky|1951-05-30
Stephen Trask|Stewart Tress|1966-08-29
Stephen W. Burns|Simon W. Buns|1954-11-15 – 1990-02-22
Stephen Williams|Stewart Wilhelms|1978-04-26
Sterling Hayden|Starling Heydan|1916-03-26 – 1986-05-23
Sterling K. Brown|Stellan K. Braun|1976-04-05
Steve Allen|Stan Alley|1921-12-26 – 2000-10-30
Steve Barron|Stephen Barring|1956-05-04
Steve Beck|Steve Back|19xx
Steve Bendelack|Stan Bandeleck|
Steve Buscemi|Steve Bushcampi|1957-12-13
Steve Carell|Stan Correll|1962-08-16
Steve Carr|Stan Corr|1965-04-07
Steve Carver|Stu Carvey|1945-04-05 – 2021-01-08
Steve Coogan|Stephen Cooger|1965-10-14
Steve Daskewisz|Stephen Deskawisz|1944-03-14 – 2018-12-18
Steve De Jarnatt|Steven De Jarden|1960
Steve Forrest|Stephen Furster|1925-09-29 – 2013-05-18
Steve Gordon|Stephen Garden|1938-10-10 – 1982-11-27
Steve Guttenberg|Steve Gutterburg|1958-08-24
Steve Harris|Steve Harrels|1965-12-03
Steve Jobs|Steve Hobbs|1955-02-24 – 2011-10-05
Steve Kanaly|Stan Kamelly|1946-03-14
Steve Kloves|Stephen Clovers|1960-03-18
Steve Lemme|Stan Letmey|1968-11-13
Steve Martin|Mart Steven|1945-08-14
Steve Martino|Stan Matteo|1959-07-20
Steve McQueen|Stu McKing|1930-03-24 – 1980-11-07
Steve McQueen|Steven McKing|1969-10-09
Steve Miner|Stephen Minder|1951-06-18
Steve Oedekerk|Stu Oedekirch|1961-11-27
Steve Rash|Stephen Rush|
Steve Reeves|Sam Reels|1926-01-21 – 2000-05-01
Steve Ressel|Steven Kessel|1967-10-12
Steve Wang|Stephen Wong|
Steve White|Stan Vice|
Steve Wozniak|Steve Woosznieshk|1950-08-11
Steve Yamamoto|Stephan Yamamuro|
Steve Zahn|Stephen Zahm|1967-11-13
Steve-O|Steph-U|1974-06-13
Steven Bauer|Stephen Bacher|1956-12-02
Steven Berkoff|Steve Berrick|1937-08-03
Steven Brand|Stephen Brat|1969-06-26
Steven Brill|Stephen Braill|1962-05-27
Steven Caple Jr.|Stephen Cabler Jr.|1988
Steven E. de Souza|Stephen E. di Sorce|1947-11-17
Steven Hilliard Stern|Stephen Hilliard Star|1937-11-01 – 2018-06-27
Steven Lisberger|Stanley Lesburger|1951-04-24
Steven Mackintosh|Stephen Mackintush|1967-04-30
Steven Pasquale|Stephen Pascal|1976-11-18
Steven Peterman|Stephen Peterkind|
Steven Quale|Stephen Quail|1965-11-30
Steven R. McQueen|Stephen R. McKing|1988-07-13
Steven S. DeKnight|Stevan S. DeKnave|1964
Steven Seagal|Stephen Seagull|1952-04-10
Steven Shainberg|Stephen Shamburg|1963-02-05
Steven Soderbergh|Stephen Soederburgh|1963-01-14
Steven Spielberg|Stewart Spielburg|1946-12-18
Steven Strait|Stephen Strate|1986-03-23
Steven Tsuchida|Steve Tsuruta|19xx
Steven Williams|Steve Wilhelms|1949-01-07
Steven Wright|Stanley Wrong|1955-12-06
Steven Yeun|Stephen Yeng|1983-12-21
Stewart Granger|Stuart Gringer|1913-05-06 – 1993-08-16
Stewart Raffill|Stuart Rafflen|1942-01-27
Sticky Fingaz|Stinky Fingaz|1973-11-03
Sting|Stung|1951-10-02
Stipe Erceg|Stipan Eršeg|1974-10-30
Stockard Channing|Stuckart Churning|1944-02-13
Stokely Carmichael|Sorley Carmitchell|1941-06-29 – 1998-11-15
Storm Reid|Strum Rayd|2003-07-01
Stringer Davis|Stronger Davids|1899-06-04 – 1973-08-29
Strother Martin|Struther Marty|1919-03-26 – 1980-08-01
Stuart Baird|Stewart Beyrth|1947-11-30
Stuart Burge|Stewart Borge|1918-01-15 – 2002-01-24
Stuart Gillard|Steward Gallard|1950-04-28
Stuart Gordon|Stanley Garden|1947-08-11 – 2020-03-24
Stuart Graham|Steward Garrett|1967-05-31
Stuart Margolin|Stanley Mandalin|1940-01-31 – 2022-12-12
Stuart Martin|Steward Marty|1986-01-08
Stuart Millar|Stewart Millen|1929 – 2006
Stuart Pankin|Stewart Penking|1946-04-08
Stuart Paton|Stewart Patten|1883-07-23 – 1944-12-16
Stuart Rosenberg|Stanley Rosental|1927-08-11 – 2007-03-15
Stuart Townsend|Stewart Townsland|1972-12-15
Stuart Walker|Stephen Walking|1888-03-04 – 1941-03-13
Stuart Whitman|Steward Whitton|1928-02-01 – 2020-03-16
Stuart Wilson|Stewart Wilton|1946-12-25
Stubby Kaye|Sammy Keye|1918-11-11 – 1997-12-14
Stéphane Ferrara|Stefan Ferreri|1956-12-25
Su-an Kim|Su-mi Kum|2006-01-26
Su-bi Oh|Su-mi Ok|1960
Subir Banerjee|Sohan Baranwal|194x
Sue Jones-Davies|Sue James-Dennies|1949-01-01
Sue Lyon|Sam Lille|1946-07-10 – 2019-12-26
Sugarhill Gang|Candyhill Mob|
Sullivan Stapleton|Simon Stapelsen|1977-06-14
Sumire Ashina|Sumiya Ashiro|1987
Sun-kyun Lee|Soo-kyan Li|1975-03-02 – 2023-12-27
Sundance Kid|Sunglance Kidd|1867-05-24 – 1908-11-07
Sung Kang|Sun Kan|1972-04-08
Sung-jae Lee|Seung-jin Li|1970-08-23
Sunghoo Park|Suhmin Pork|
Sunita Mani|Sunitha Mina|1986
Sunny Pawar|Sammy Parmar|2008
Sunny Suljic|Sammy Sulman|2005-08-10
Suraj Sharma|Sahir Sharnan|1993-03-21
Surakshya Panta|Suresha Pankar|
Susan Anspach|Sarah Ansel|1942-11-23 – 2018-04-02
Susan Blakely|Sophie Blakley|1948-09-07
Susan Blu|Sophie Blo|1948-07-12
Susan Chuang|Suzy Chung|
Susan Clark|Sandy Clerk|1943-03-08
Susan Dey|Suzanne Dai|1952-12-10
Susan Egan|Suzanne Egel|1970-02-18
Susan Fleetwood|Suzy Treehood|1944-09-21 – 1995-09-29
Susan Harrison|Sophie Harrelsen|1938-08-26 – 2019-03-05
Susan Hayward|Sandy Haywartz|1917-06-30 – 1975-03-14
Susan Lanier|Suzanne Lanoux|1947-08-01
Susan Lynch|Sally Lunch|1971-06-05
Susan Sarandon|Suzy Sorandom|1946-10-04
Susan Seidelman|Sophie Seidemann|1952-12-11
Susan Tyrrell|Sandy Tyrwhitt|1945-03-18 – 2012-06-16
Susan Ursitti|Sandy Ulsotti|1957-09-17
Susan Wooldridge|Suzanne Wolfridge|1952-07-31
Susanna Foster|Suzanne Foerster|1924-12-06 – 2009-01-17
Susanna Kaysen|Suzanne Keysend|1948-11-11
Susanna White|Suzanne Vice|1960
Susannah Harker|Susan A. Hawkler|1965-04-26
Susanne Benton|Susanna Bernsen|1948-02-03
Susanne Cramer|Suzanna Crauser|1936-12-03 – 1969-01-07
Susanne Lothar|Susanna Luther|1960-11-15 – 2012-07-21
Susie Coelho|Sonia Cojeno|1953-12-07
Susie Wokoma|Suri Woloka|1987-12-31
Suzanna Hamilton|Susanne Hammerton|1960-02-08
Suzanna Son|Suzanne Sohn|1995-10-31
Suzanne Cloutier|Suzette Clouzot|1923-07-10 – 2003-12-02
Suzanne Cryer|Susanne Crying|1967-01-13
Suzanne Flon|Susanna Flaun|1918-01-28 – 2005-06-15
Suzanne Pleshette|Susanne Plaquette|1937-01-31 – 2008-01-19
Suzanne Snyder|Susanne Snitzler|1962-10-22
Suzanne von Borsody|Susanna von Barsody|1957-09-23
Suzy Amis Cameron|Susan Amis Kamerun|1962-01-05
Suzy Bemba|Susan Benro|2000-06-22
Suzy Chaffee|Susan Chaffey|1946-11-29
Suzy Delair|Susan Delan|1917-12-31 – 2020-03-15
Suzy Kendall|Susan Kenton|1937-01-01
Sven Unterwaldt|Swen Unterforst|1965-04-21
